sort_id,cluster_id,n_cached_windows,n_valid_dev_pairs,n_stable_pairs,n_failing_pairs,status,start_s,end_s,span_s,reference_end_s,failing_start_s,reference_missing_pct,failing_missing_pct,difference_pp,intervening_windows,dev_interval_index,source_rows,nominal_samples_in_four_fits,historical_samples_in_four_fits,fitted_window_duration_s,KSLabel,ContamPct,source_voltage_exists,template_file_exists
legacy_luke0804_v2v1_g0_imec0,509,385,93.0,5.0,45.0,qualifying_transition,4110.035503820328,4190.23167560414,80.19617178381213,4132.498093295015,4171.055437430006,2.158011270439133,23.14418322584131,20.986171955402178,5.0,3.0,"[26175, 26176, 26182, 26183]",4000.0,3996.0,41.624627571186466,mua,70.5,False,True
legacy_luke0804_v2v1_g0_imec0,519,192,38.0,9.0,14.0,qualifying_transition,10250.899743970707,10470.831379719675,219.9316357489679,10330.30371142336,10410.342615680687,4.041676107307206,19.70530000767701,15.663623900369805,2.0,7.0,"[27611, 27612, 27615, 27616]",4000.0,3996.0,139.8513645988096,mua,70.7,False,True
legacy_luke0804_v2v1_g0_imec0,370,191,82.0,1.0,72.0,qualifying_transition,3757.8566117125774,4128.5385383139055,370.6819266013281,3842.4125406654944,4034.7082586560314,4.2438013619113075,22.619341151205937,18.375539789294628,4.0,3.0,"[15787, 15788, 15793, 15794]",4000.0,3996.0,178.28960808265447,mua,70.7,False,True
rescue_luke0804_v2v1_g0_imec0,549,265,88.0,12.0,40.0,qualifying_transition,4204.790555200804,4334.1342956854105,129.34374048460631,4268.343802660678,4268.390636250062,0.6431752301605647,31.614661091739453,30.971485861578888,0.0,3.0,"[16626, 16627, 16628, 16629]",4000.0,3996.0,129.22133981541356,mua,72.7,True,True
rescue_luke0804_v2v1_g0_imec0,531,24,9.0,1.0,1.0,qualifying_transition,185.96491671195747,783.8640855609699,597.8991688490124,352.2717592821428,645.2784945490915,2.282967070538262,27.693210806958014,25.41024373641975,4.0,0.0,"[15669, 15670, 15675, 15676]",4000.0,3996.0,304.79039969088814,mua,72.7,True,True
legacy_luke0804_v2v1_g0_imec0,427,323,79.0,2.0,39.0,qualifying_transition,6502.490683910015,6698.6908232469,196.2001393368855,6611.325612268341,6611.356779105403,0.30145041041683635,24.375090396277386,24.07363998586055,0.0,5.0,"[20150, 20151, 20152, 20153]",4000.0,3996.0,196.12290558129826,mua,75.2,False,True
legacy_luke0804_v2v1_g0_imec0,480,297,136.0,14.0,56.0,qualifying_transition,7408.794838878338,7545.997622330097,137.2027834517594,7459.63055014192,7487.748003866353,3.722608664885462,28.009567420911537,24.286958756026074,1.0,5.0,"[22451, 22452, 22454, 22455]",4000.0,3996.0,108.97569579459923,mua,76.0,False,True
legacy_luke0804_v2v1_g0_imec0,462,86,26.0,12.0,4.0,qualifying_transition,6990.13078328127,7686.409223325182,696.2784400439123,7277.461954185301,7493.854937254329,0.20502154614343543,30.011124240554658,29.806102694411223,2.0,5.0,"[21387, 21388, 21391, 21392]",4000.0,3996.0,479.8273233237205,mua,87.6,False,True
legacy_luke0804_v2v1_g0_imec0,325,199,87.0,3.0,47.0,qualifying_transition,7015.842823854769,7243.887470626059,228.04464677129,7127.227632820531,7179.953854419958,3.7424203014812303,21.538735250681924,17.796314949200692,1.0,5.0,"[11959, 11960, 11962, 11963]",4000.0,3996.0,175.30765844633243,mua,114.8,False,True
rescue_luke0804_v2v1_g0_imec0,401,201,13.0,1.0,9.0,qualifying_transition,6685.370783756586,6993.221133510242,307.8503497536558,6781.438942316115,6884.296037992286,4.1450197886018,32.57209922023216,28.42707943163036,2.0,5.0,"[9112, 9113, 9116, 9117]",4000.0,3996.0,204.57451845482865,mua,131.2,True,True
legacy_luke0804_v2v1_g0_imec0,25,152,87.0,21.0,19.0,qualifying_transition,6551.41135137029,6765.842623714205,214.43127234391523,6640.178870015579,6670.74540379635,1.2237790177622767,30.284024292585976,29.0602452748237,1.0,5.0,"[1323, 1324, 1326, 1327]",4000.0,3996.0,183.83980509349294,mua,294.2,False,True
